Date,Recip_County,Recip_State,Administered_Dose1_Pop_Pct,Series_Complete_Pop_Pct,Metro_status
2022-03-10,Lawrence County,MO,43.1,37.6,Non-metro
2022-03-10,Jones County,IA,62,58.2,Metro
2022-03-10,Stephenson County,IL,66.2,60.4,Non-metro
2022-03-10,Davis County,IA,38.8,36.3,Non-metro
2022-03-10,Elkhart County,IN,48.1,42.4,Metro
2022-03-10,Emmet County,MI,74.9,72,Non-metro
2022-03-10,Turner County,SD,62.4,52.9,Metro
2022-03-10,Nemaha County,KS,57.7,53.9,Non-metro
2022-03-10,Marion County,IA,56.9,52.7,Non-metro
2022-03-10,Coles County,IL,50.1,45.8,Non-metro
2022-03-10,Daviess County,IN,36,32.8,Non-metro
2022-03-10,Lincoln County,NE,0,32.9,Non-metro
2022-03-10,Wabash County,IN,45.3,40.8,Non-metro
2022-03-10,Erie County,OH,62.3,58.8,Non-metro
2022-03-10,Ogemaw County,MI,46.5,45,Non-metro
2022-03-10,Clinton County,OH,52.6,48.6,Non-metro
2022-03-10,Brown County,KS,67.6,60.3,Non-metro
2022-03-10,Winnebago County,IA,56,51.9,Non-metro
2022-03-10,McDonald County,MO,42.2,32.7,Metro
2022-03-10,Jennings County,IN,44.8,40,Non-metro
2022-03-10,Custer County,SD,60.2,50.2,Metro
2022-03-10,Gasconade County,MO,55.7,50.4,Non-metro
2022-03-10,Fond du Lac County,WI,60.2,55.2,Metro
2022-03-10,Vermilion County,IL,50,45.3,Metro
2022-03-10,Vermillion County,IN,52,46.4,Metro
2022-03-10,Brown County,IN,56.8,50.4,Metro
2022-03-10,Oneida County,WI,69.6,64.7,Non-metro
2022-03-10,Huron County,MI,55.2,53.8,Non-metro
2022-03-10,Kewaunee County,WI,54.6,51.8,Metro
2022-03-10,Grant County,WI,59.4,54.5,Non-metro
2022-03-10,Deuel County,SD,52.6,46.1,Non-metro
2022-03-10,Fountain County,IN,51.5,46.4,Non-metro
2022-03-10,Sandusky County,OH,54.8,52.4,Non-metro
2022-03-10,Lancaster County,NE,70.9,66.1,Metro
2022-03-10,Isanti County,MN,46.1,42.7,Metro
2022-03-10,Clay County,SD,81.6,67.4,Non-metro
2022-03-10,Brown County,MN,68.3,65.6,Non-metro
2022-03-10,Arthur County,NE,0,19.4,Non-metro
2022-03-10,Appanoose County,IA,51,47,Non-metro
2022-03-10,Republic County,KS,54.3,50.5,Non-metro
2022-03-10,Harvey County,KS,52.7,46.2,Metro
2022-03-10,Roberts County,SD,88.1,72.7,Non-metro
2022-03-10,Gallia County,OH,51.1,46.3,Non-metro
2022-03-10,Union County,IN,55.2,49.1,Metro
2022-03-10,Miami County,IN,44,39.8,Non-metro
2022-03-10,Blue Earth County,MN,64,60.2,Metro
